Date,Price,Open,High,Low,Vol.,Change %
06/06/2022,4.2292,4.217,4.2725,4.1375,38.73K,1.79%
06/03/2022,4.1549,4.1397,4.22,4.074,35.20K,1.30%
06/02/2022,4.1017,4.0465,4.1566,3.9225,42.52K,1.73%
06/01/2022,4.0319,3.9198,4.0585,3.8833,38.28K,2.46%
05/31/2022,3.935,3.9265,4.1647,3.901,59.41K,-1.29%
05/30/2022,3.9863,3.9244,3.9913,3.9011,,1.57%
05/29/2022,3.9245,3.912,3.9245,3.9092,,0.49%
05/27/2022,3.9053,3.8692,3.922,3.8028,40.87K,1.42%
05/26/2022,3.8505,3.7516,3.8768,3.7413,36.98K,2.70%
05/25/2022,3.7491,3.6576,3.7704,3.6463,48.04K,2.59%
05/24/2022,3.6543,3.6497,3.715,3.5765,42.65K,0.30%
05/23/2022,3.6434,3.6236,3.6734,3.5752,36.75K,0.60%
05/20/2022,3.6218,3.6672,3.6914,3.6161,31.34K,-1.24%
05/19/2022,3.6671,3.5606,3.6764,3.4274,38.95K,2.74%
05/18/2022,3.5693,3.7065,3.7344,3.5255,46.80K,-3.34%
05/17/2022,3.6928,3.7714,3.8324,3.6747,42.49K,-2.15%
05/16/2022,3.7738,3.7739,3.801,3.6802,33.77K,0.35%
05/13/2022,3.7608,3.7393,3.8242,3.7184,30.00K,0.66%
05/12/2022,3.7363,3.7693,3.7883,3.6165,39.12K,-0.49%
05/11/2022,3.7546,3.6715,3.815,3.6649,45.88K,2.05%
05/10/2022,3.6793,3.6391,3.7334,3.5786,39.93K,0.70%
05/09/2022,3.6539,3.8254,3.8303,3.6167,42.60K,-3.56%
05/06/2022,3.7888,3.8345,3.8618,3.7396,44.72K,-0.83%
05/05/2022,3.8204,3.8877,3.9282,3.7914,42.22K,-1.59%
05/04/2022,3.8822,3.7504,3.9111,3.7504,32.24K,3.77%
05/03/2022,3.7413,3.8574,3.8701,3.6947,37.90K,-2.35%
05/02/2022,3.8314,3.6726,3.8846,3.6207,27.67K,-4.63%
04/29/2022,4.0172,3.9997,4.1771,3.9779,42.61K,0.22%
04/28/2022,4.0084,3.9468,4.039,3.8837,47.99K,1.76%
04/27/2022,3.9391,3.8256,3.9607,3.7453,39.46K,3.19%
04/26/2022,3.8173,3.6992,3.8654,3.6258,51.28K,4.47%
04/25/2022,3.6541,3.6255,3.6875,3.4818,40.68K,0.50%
04/22/2022,3.6358,3.6361,3.6793,3.5583,35.66K,0.25%
04/21/2022,3.6267,3.6649,3.7014,3.5676,39.08K,-1.11%
04/20/2022,3.6674,3.5815,3.6832,3.567,39.35K,2.52%
04/19/2022,3.5772,3.6471,3.668,3.5033,31.17K,-1.82%
04/18/2022,3.6435,3.6871,3.75,3.5813,30.56K,-0.02%
04/14/2022,3.6442,3.5857,3.6989,3.474,34.98K,3.30%
04/13/2022,3.5277,3.3477,3.5807,3.3141,42.49K,6.00%
04/12/2022,3.328,3.17,3.3499,3.1623,32.73K,5.92%
04/11/2022,3.142,3.21,3.2267,3.0979,27.29K,-1.77%
04/08/2022,3.1985,3.191,3.2136,3.1225,29.53K,1.77%
